user_id,bet_amount,odds,potential_winnings,status,created_at
534,34500000,0.0,0.0,settled,2025-10-24 08:11:17
255,29364400,1.1,32300840.700101852,reverted,2024-11-21 13:43:03
456,20000000,1.14,22799999.713897705,pending,2025-08-19 08:50:52
456,20000000,1.14,22799999.713897705,pending,2025-08-19 08:50:39
254,12792400,1.1,14071640.304994583,reverted,2024-11-21 07:42:22
254,10732800,1.1,11806080.255889893,reverted,2024-11-22 09:42:54
494,10000000,1.95,19500000.47683716,settled,2025-10-07 14:58:10
494,10000000,1.4,13999999.76158142,settled,2025-10-07 14:57:20
494,10000000,1.5,15000000.0,settled,2025-10-07 14:57:45
492,10000000,1.95,19500000.47683716,settled,2025-10-07 12:58:01
