PlaylistName,TrackName,AlbumTitle,ArtistName,Genre,Composer,DurationMinutes,UnitPrice
90’s Music,(Da Le) Yaleo,Supernatural,Santana,Rock,Santana,5.89,0.99
90’s Music,(I Can't Help) Falling In Love With You,UB40 The Best Of - Volume Two [UK],UB40,Reggae,,3.46,0.99
90’s Music,(White Man) In Hammersmith Palais,The Singles,The Clash,Alternative & Punk,Joe Strummer/Mick Jones,4.01,0.99
90’s Music,100% HardCore,Os Cães Ladram Mas A Caravana Não Pára,Planet Hemp,Hip Hop/Rap,,2.75,0.99
90’s Music,14 Years,Use Your Illusion II,Guns N' Roses,Metal,Izzy Stradlin'/W. Axl Rose,4.36,0.99
90’s Music,16 Toneladas,Roda De Funk,Funk Como Le Gusta,Latin,,3.19,0.99
90’s Music,1979,Rotten Apples: Greatest Hits,Smashing Pumpkins,Alternative & Punk,Billy Corgan,4.39,0.99
90’s Music,1º De Julho,A TempestadeTempestade Ou O Livro Dos Dias,Legião Urbana,Latin,Renato Russo,4.84,0.99
90’s Music,2 A.M.,The X Factor,Iron Maiden,Rock,Blaze Bayley/Janick Gers/Steve Harris,5.63,0.99
90’s Music,2 Minutes To Midnight,A Real Dead One,Iron Maiden,Metal,Adrian Smith/Bruce Dickinson,5.62,0.99
90’s Music,2 Minutes To Midnight,Live At Donington 1992 (Disc 2),Iron Maiden,Rock,Adrian Smith/Bruce Dickinson,5.64,0.99
90’s Music,2 X 4,Load,Metallica,Metal,"James Hetfield, Lars Ulrich, Kirk Hammett",5.47,0.99
90’s Music,"2,000 Man",Unplugged [Live],Kiss,Rock,"Mick Jagger, Keith Richard",5.21,0.99
90’s Music,20 Flight Rock,BackBeat Soundtrack,BackBeat,Rock And Roll,Ned Fairchild,1.8,0.99
90’s Music,2112 Overture,Retrospective I (1974-1980),Rush,Rock,Geddy Lee And Alex Lifeson/Geddy Lee And Neil Peart/Rush,4.55,0.99
90’s Music,32 Dentes,Acústico,Titãs,Alternative & Punk,Titãs,3.08,0.99
90’s Music,A Carta,Djavan Ao Vivo - Vol. 1,Djavan,Latin,"Djavan - Gabriel, O Pensador",5.79,0.99
90’s Music,A Castle Full Of Rascals,Purpendicular,Deep Purple,Rock,"Ian Gillan, Roger Glover, Jon Lord, Steve Morse, Ian Paice",5.19,0.99
90’s Music,A Cor Do Sol,Cidade Negra - Hits,Cidade Negra,Reggae,Bernardo Vilhena/Da Gama/Lazao,4.55,0.99
90’s Music,A Different Kind Of Blue,Original Soundtracks 1,Passengers,Soundtrack,"Brian Eno, Bono, Adam Clayton, The Edge & Larry Mullen Jnr.",2.01,0.99
90’s Music,A Estrada,Cidade Negra - Hits,Cidade Negra,Reggae,Da Gama/Lazao/Toni Garrido,4.7,0.99
90’s Music,A Luz De Tieta,Prenda Minha,Caetano Veloso,Latin,Caetano Veloso,4.2,0.99
90’s Music,A Melhor Forma,Acústico,Titãs,Alternative & Punk,Titãs,3.19,0.99
90’s Music,"A Midsummer Night's Dream, Op.61 Incidental Music: No.7 Notturno",Mendelssohn: A Midsummer Night's Dream,Philharmonia Orchestra & Sir Neville Marriner,Classical,,6.46,0.99
90’s Music,A New Flame,Greatest Hits,Lenny Kravitz,Rock,Mick Hucknall,3.96,0.99
90’s Music,A Novidade,Unplugged,Eric Clapton,Latin,Gilberto Gil,5.41,0.99
90’s Music,A Novidade (Live),Quanta Gente Veio Ver (Live),Gilberto Gil,Latin,,5.28,0.99
90’s Music,A Paz,Unplugged,Eric Clapton,Latin,Gilberto Gil,4.88,0.99
90’s Music,A Room At The Heartbreak Hotel,B-Sides 1980-1990,U2,Rock,U2,4.58,0.99
90’s Music,A Rua,The Best of Ed Motta,Ed Motta,Latin,,3.97,0.99
90’s Music,A Small Victory,Angel Dust,Faith No More,Alternative & Punk,,4.95,0.99
90’s Music,A Sombra Da Maldade,Cidade Negra - Hits,Cidade Negra,Reggae,Da Gama/Toni Garrido,4.75,0.99
90’s Music,A Statistic,Body Count,Body Count,Alternative & Punk,,0.11,0.99
90’s Music,A Sua,Cesta Básica,Raimundos,Alternative & Punk,Rodolfo,2.37,0.99
90’s Music,A Tarde,Jota Quest-1995,Jota Quest,Latin,,4.45,0.99
90’s Music,A Touch Away,Purpendicular,Deep Purple,Rock,"Ian Gillan, Roger Glover, Jon Lord, Steve Morse, Ian Paice",4.61,0.99
90’s Music,A Twist In The Tail,The Battle Rages On,Deep Purple,Rock,roger glover,4.29,0.99
90’s Music,A Via Láctea,A TempestadeTempestade Ou O Livro Dos Dias,Legião Urbana,Latin,Renato Russo,4.67,0.99
90’s Music,A World Without Heroes,Unplugged [Live],Kiss,Rock,"Paul Stanley, Gene Simmons, Bob Ezrin, Lewis Reed",2.96,0.99
90’s Music,Absolute Zero,King For A Day Fool For A Lifetime,Faith No More,Rock,"Mike Bordin, Billy Gould, Mike Patton",3.03,0.99
90’s Music,Acelerou,Djavan Ao Vivo - Vol. 02,Djavan,Latin,,4.73,0.99
90’s Music,Acelerou,Djavan Ao Vivo - Vol. 1,Djavan,Latin,Djavan,4.74,0.99
90’s Music,Acrobat,Achtung Baby,U2,Rock,U2,4.5,0.99
90’s Music,Action,Vault: Def Leppard's Greatest Hits,Def Leppard,Rock,,3.68,0.99
